id,label,description,rights,meta.Agent,meta.Alt Text,meta.Cultural Context,meta.Date,meta.Location: Current,meta.Location: Place of Origin,meta.Rights,meta.Style Period,meta.Subject,Meta.Worktype
000011,Akhenaten as Sphinx,"On a flat rectangular stone surface is carved in relief a sun-shaped disk in the upper left, radiating lines downward.  At the ends of the lines are hands, some holding ahks. Beneath the disk are candle-shaped offering stands. Facing the rays on the right is a crouching lion’s body with a human head and arms that are lifted in gestures of respect and offerings.  Egyptian hieroglyphs, some encircled in cartouches, are above the lion’s body and on the left.","ArtStor Museum of Fine Arts, Boston, Collection",Unknown,Stone relief of Akhenaten as Sphinx,"Ancient Egyptian, New Kingdom",BCE 1349-1336,"Museum of Fine Arts, Boston, Egyptian New Kingdom Gallery (Gallery 210) ","Tel-el-Amarna, Egypt","ArtStor Museum of Fine Arts, Boston, Collection","2nd Millennium BCE, New Kingdom",Akhenaten,Sculpture
000012,Akkadian Ruler Head,"The life-sized bronze head features a robust beard and strong facial features. The left eye socket is intact, but the right eye socket has been gouged out violently. A headpiece with textured triangular patterns crowns the head.","ArtStor © 2006, SCALA, Florence / ART RESOURCE, N.Y.",Unknown,life-sized bronze head,"Middle Eastern, Mesopotamian, Akkadian",BCE 2250,"Iraq Museum, Baghdad ",Ancient Near East,"ArtStor © 2006, SCALA, Florence / ART RESOURCE, N.Y.","3rd Millennium BCE, Akkadian","Akkad, Sargon",Sculpture
000013,Album of Calligraphies Including Poetry and Prophetic Traditions (Hadith),"Two horizontal rectangles of paper are placed one above the other in this photograph. In the center of each is a rectangle showing Arabic script in black ink, in large and small formats. The paper surrounding the inner rectangles is marbled in muted pinks, blues, and greens.  ",CC 1.0 Univeral Public Domain,Shaikh Hamdullah ibn Mustafa Dede,A manuscript with illustrations and Arabic calligraphy,"Middle Eastern, Turkish, Muslim",CE 1500,"The Metropolitan Museum of Art, New York, NY, USA","Istanbul, Turkey",CC 1.0 Univeral Public Domain,16th Century CE,Arabic calligraphy,"Manuscript
"
000014,Alexander the Great or Hector of Troy (Nine Heroes Tapestries),"This large tapestry depicts what could be either Hector or Alexander the Great holding a shield with the image of a lion and large sword; he sits in a vaulted niche on the lower register of the tapestry, surrounded on sides and top by seven smaller niches that show warriors and aristocratic women on a smaller scale than the main figure.",CC 1.0 Universal Public Domain,Unknown,Tapestry showing what could be either Hector or Alexander the Great holding a sword and a shield with the image of a lion.,"Northern and Western European, Netherlandish, Christendom",CE 1400-1410,"The Metropolitan Museum of Art, New York, NY, USA",Southern Netherlands,CC 1.0 Universal Public Domain,"15th Century CE, Gothic","Alexander the Great, Hector of Troy",Textile
000015,Alhambra Palace,"A crenellated wall made of red brick spans the photograph, punctuated by four rectangular square-topped battlement towers.  Beyond the wall are other buildings with arched, square, and round windows, and a tower. In the background are rocky peaks of a distant mountain range.  ",CC0 1.0 Universal Public Domain,Moorish Nasrid Dynasty,Large building on a cliff with trees surrounding it. Mountain ranges are seen in the background.,"Northern and Western European, Spainish, Muslim, Nasrid Dynasty",CE 1238-1358,"Granada, Andalucia, Spain","Granada, Andalucia, Spain ",CC0 1.0 Universal Public Domain,"13th-14th Century CE, Moorish Nasrid Dynasty","Spain, Muslim",Architecture
000016,Amunhotep III,"A carved wood statuette of a human form on an inscribed wooden base, with the left leg advanced. The arms are missing. A crown with uraeus body coiled in front rests atop the head. The eyes gaze forward, inlaid with glass. The figure wears a gold leaf kilt with wide border at top, incised with floral motifs.",CC BY-SA 3.0 Brooklyn Art Museum,Unknown,A carved wood statuette of a human form on an inscribed wooden base,"Ancient Egyptian, New Kingdom",BCE 1390-1352 ,"Brooklyn Museum, Egyptian Orientation Gallery, Third Floor",Egypt,CC BY-SA 3.0 Brooklyn Art Museum,"2nd Millennium BCE, New Kingdom",Amunhotep III,Sculpture
000017,Angelico: The Annunciation ,"Underneath a closed collonaded porch, with both rounded and pointed arches, and a garden, fence, and woods visible in the background, an angel in a pink robe, arms folded, kneels in front of a seated woman in a blue robe, whose folded arms mimic the angel's.  They are looking into each other's eyes. At the back of the porch is a doorway to a room with a window in it.",Artstor fig. 15.28; EP,Fra Angelico,"Two figures are under a covered colonnade. One is sitting on a bench, The other has wings and is kneeling.","Southern European, Italian, Renaissance",CE 1438-1447,"Convent of San Marco, Florence, Italy","Florence, Italy",Artstor fig. 15.28; EP,"15th Century CE, Renaissance","Annunciation, Gabriel, St Mary",Painting
000018,Aphrodite (Venus De Milo),"A female form carved in marble stands with the weight on her right leg, with her torso swiveled and shoulders tilted. Her garment has slipped to her hips. She gazes with serene expression and neatly coiffed hair. Her arms are missing from her shoulders.",CC BY-SA 4.0 Livioandronico2013,Alexandros of Antioch-On-The-Meander,"Carved marble female figure, nude to the waist with a draped cloth to the floor.  Both arms are broken at the elbow.","Ancient Greek, Hellenistic",BCE 150-125,"Musee du Louvre, Paris ","Milos, Greece",CC BY-SA 4.0 Livioandronico2013,"2nd Century BCE, Hellenistic","Venus, Aphrodite",Sculpture
000019,Aphrodite of Knidos by Praxiteles,"A life-size carved marble sculpture shows a nude female figure reaching for a bath towel. Her weight rests on her right leg, while her torso curves to the left. Her head is turned toward the left.",CC BY 2.5 © Marie-Lan Nguyen,Unknown,A life-size carved marble sculpture shows a nude female figure reaching for a bath towel.,"Ancient Greek, Classical Greek",BCE 350-340 ,"Museo nazionale romano di palazzo Altemps, Rome",Athens,CC BY 2.5 © Marie-Lan Nguyen,"4th Century BCE, Classical Greece","Venus, Aphrodite",Sculpture
000020,Aquamanile in the Form of a Dragon,Here is a metal jug with a spout in the shape of a dragon. The spout forms the dragon's neck and head. A small monk protrudes from the dragon's mouth at the end of the spout.,CC 1.0 Universal Public Domain,Unknown,Metal jug with a spout; the jug is in the shape of a dragon; a monk protrudes from the dragon's mouth.,"Northern and Western European, German, Christendom, Gothic",CE 1200,"The Cloisters, Metropolitan Museum of Art, New York, NY, USA","Chartres, France",CC 1.0 Universal Public Domain,"13th Century CE, Gothic","dragon, Germany",Metalwork
000021,Ara Pacis-procession frieze,"Large marble relief sculpture depicting a procession of men, women, and a child, dressed in togas and Roman ceremonial garb.",CC BY-SA 3.0 WolfgangRieger,Unknown,"Large marble relief sculpture depicting a procession of men, women, and a child, dressed in togas.","Ancient Roman, Imperial Roman",BCE 13,Rome,Rome,CC BY-SA 3.0 WolfgangRieger,"1st Century BCE, Imperial Rome","Augustus, Agrippa",Sculpture
000022,Ardabil Carpet ,"On a rectangular carpet, a sunburst medallion appears in the center, surrounded by sixteen ogival shapes. A pair of mosque lamps appear above and below the central medallion on the vertical axis. Around the border of the rectangle is a band showing undulating floral motifs. ","Public Domain, © MUSEUM ASSOCIATES 2017",Maqsud of Kashan and others (unknown) ,A rug with Chinese and Iranian motifs,"Middle Eastern, Iranian, Muslim, Persian, Safavid",CE 1539,"Los Angeles County Museum of Art, Los Angeles, CA, USA","Tabriz, Iran OR Kashan, Iran","Public Domain, © MUSEUM ASSOCIATES 2017","16th Century CE, Safavid","Safavid, allover pattern","Textile, Carpet "
000023,Assault of Mara,"Relief panel in stone showing the Buddha seated cross-legged in the center. On his left (the viewer’s right), the demon Mara, armed with a sword, is accompanied by several followers; on Buddha’s right (our left), we see the defeated demon being led away by members of his army.",CC BY-SA 3.0 © The Trustees of the British Museum,Unknown,Relief sculpture of Buddha and the demon Mara,"South Asian, Pakistani, Buddhist, Gandhara, Hellenistic, Kushan",CE 100-300,"British Museum, Not on display",Central Asia/South Asia,CC BY-SA 3.0 © The Trustees of the British Museum,"2nd-3rd Century CE, Gandhara, Hellenistic, Kushan","Buddhism, Mara","Sculpture
"
000024,"Aulus Metellus, or The Orator","A life-size statue of a man wearing a toga and boots stands with one arm stretched forward with an open palm. HIs mouth is open to express that he is speaking, and his eyes are fixed forward.",ArtStor Department of Art History Digital Collections,Unknown,Life-size statue of a man wearing a toga and boots stands with one arm stretched forward with an open palm,"Ancient Roman, Imperial Roman",BCE 80,"Museo Archeologico Nazionale, Florence","Perugia, Italy",ArtStor Department of Art History Digital Collections,"1st Century BCE, Imperial Rome","Imperial Rome, orator",Sculpture
000025,Autumn Colors on the Qiao and Hua Mountains,This is a Yuan Dynasty landscape of mountains and trees with strong blue and green inks.,Artstor University of California San Diego Slide Gallery,Zhao Mengfu 趙孟頫,This is a Yuan Dynasty landscape of mountains and trees with strong blue and green inks.,"East Asian, Chinese, Yuan Dynasty",CE 1296,"National Palace Museum, Taipei, Taiwan","Huzhou, Zhejiang, China",Artstor University of California San Diego Slide Gallery,"13th Century CE, Yuan Dynasty","shan shui, mountains",Painting
000026,Baal with Thunderbolt ,"An upright stone slab with relief carvings depicting a standing male figure (representing the Canaanite storm god Baal) who faces right, and stands on a large pedestal carved with mountains and seas. His right hand is upraised, brandishing a club, and his left hand is outstretched, holding a thunderbolt. This figure is bearded, and wears a helmet with bull’s horns. A smaller male figure, bareheaded, stands on a horned altar, between the god and his thunderbolt. (This is thought to be a king of Ugarit.)",GNU Free Documentation License Mbzt,Unknown,An upright stone slab with relief carvings depicting a standing male figure.,"Ancient Egyptian, New Kingdom",BCE 1500-1300,"Louvre, Paris","Ras Shamra (= Ugarit), Syria",GNU Free Documentation License Mbzt,"2nd Millennium BCE, New Kingdom",Baal,Sculpture
000027,Babur Receives a Courtier,"The top half of this painting shows a palace decorated with arabesque floral motifs. Two arches and a dome are visible, and above them a garden appears. In the bottom half, a central bearded figure sits on a square throne, surrounded by 14 males of various occupations and positions, and a horse. ",Public Domain,Farrukh Beg,Babur sits in his elaborately decorated throne room,"South Asian, Muslim, Indian, Mughal",CE 1580-1585,"Freer | Sackler Museum, Smithsonian Institution, Washington, DC USA","Lahore, Pakistan",Public Domain,"17th Century CE, Mughal","Mughal manuscript, Baburnama",Painting
000028,Baleen Whale Mask,"This large whale-shaped carved cedar sculpture is painted with reds, blues, and whites to emphasize the flared nostril, the eye, and the jaw. Other decorative painted shapes appear on a collar, around the blow-hole, and along the sides and the fluted tail.  Moveable fins would have enhanced the effect when this mask -- hollowed out so it could be  carried on the back of a dancer -- was worn in ritualized performances.","CC BY-SA 3.0, © Brooklyn Museum",Unknown,A large wooden whale-shaped mask is painted black red and blue.,"North American, Canadian, Kwakwaka’wakw",CE 1800-1900,"Brooklyn Museum, New York, USA","Knight's Inlet, British Columbia, Canada","CC BY-SA 3.0, © Brooklyn Museum","19th Century CE, Kwakwaka’wakw",Kwakwaka’wakw,Sculpture
000029,Banquet Scene in Nebamun's Tomb painting," In the upper register, a dozen Egyptian figures are seated in a row of chairs, most of them in profile facing the viewer’s left.  They are dressed in robes, kilts, and jewelry.  A standing nude female offers a dish to one of them.  On a lower register, four seated musicians play instruments on the right, and five on the left, flanking two nearly-nude dancing figures and a group of amphora-shaped jugs in the center. Two musicians are shown full face. There are 15 vertical registers of hieroglyphs visible.",CC BY-SA 3.0 © The Trustees of the British Museum,Unknown,banquet scene in Nebamun's tomb painting in two registers,"Ancient Egyptian, New Kingdom",BCE 1350,"British Museum, London, UK. Room 61","Thebes, Tomb of Nebamun, Upper Egypt",CC BY-SA 3.0 © The Trustees of the British Museum,"2nd Millennium BCE, New Kingdom","New Kingdom, banquet",Painting
000030,Baqir: Lion and Dragon in Combat,"Drawn in ink and watercolor on paper are a lion and a dragon grappling in fierce face-to-face combat, with the lion's teeth embedded in the dragon's body which is entwining the lion's torso.",Public Domain,Muhammad Baqir,A lion and a dragon wrestle.,"Middle Eastern, Iranian, Muslim, Persian, Safavid",CE 1750,"The Metropolitan Museum of Art, New York, NY USA","Sari, Iran",Public Domain,"18th Century CE, Safavid","Safavid, lion, dragon",Painting
000031,Barberini Faun (Sleeping Satyr),"Marble sculpture of a ""half-human, half-animal"", known as a Satyr in Ancient Greek mythology and a Faun in Roman mythology. He lays back while sleeping, his tail visible under his left leg and his right leg propped up.","Artstor University of California, San Diego",Unknown,Satyr lays back against a rock while sleeping.,"Ancient Greek, Hellenistic",BCE 220,"Glyptothek, Munich, Germany","Castel Sant’ Angelo, Parco Adriano, Rome, Italy","Artstor University of California, San Diego","2nd Century BCE, Hellenistic",satyr,Sculpture
000032,"Basilica of Maxentius, or the Basilica Nova",This photograph shows the basilica Nova’s three barrel vaults.,CC BY-SA 4.0 Livioandronico2013 ,Unknown,This photograph shows the basilica Nova's three barrel vaults.,"Ancient Roman, Imperial Roman, Late Antiquity",CE 306-312,"Rome, Italy",The Roman Forum,CC BY-SA 4.0 Livioandronico2013 ,"4th Century CE, Imperial Roman, Late Antiquity","Imperial Rome, Maxentius, Constantine",Architecture
000033,Basilica of Saint-Denis,"A photograph shows the west façade of Saint Denis, which has three portals at the ground level, separated by two massive vertical buttresses between them rising three levels high, marked by horizontal string-courses and window arcades that mark each level on the exterior of the building. The central portal is one larger than those either side, topped by a Tympanum and lintel. Above the central portal is a second-level arched window arcade, and above that is a large round rose window in a square frame. Above the right flanking portal and window arcades rises a bell tower.",CC BY-SA 4.0 Thomas Clouet,Unknown,A cathedral facade shows three portals at the ground level. A second-level arched window arcade shows a large round rose window in a square frame. A bell tower spire rises above. ,"Northern and Western European, French, Christendom, Gothic",CE 1144,"Saint-Denis, France","Saint-Denis, France",CC BY-SA 4.0 Thomas Clouet,"12th Century CE, Gothic","France, Christianity",Architecture
000034,"Basilica of Saint-Sernin, Toulouse","An interior view of a church shows a pair of arched recessed rooms, each containing a painting and an altar. A row of wooden pews faces the paired rooms. Above them are a pair of arched balcony openings. ",CC BY 3.0 PierreSelim,Unknown,"An interior view of a church shows a pair of arched recessed rooms, each containing a painting and an altar. A row of wooden pews face the paired rooms. Above them are a pair of arched balcony openings.","Northern and Western European, French, Christendom, Romanesque",CE 1180,"Toulouse, France","Toulouse, France",CC BY 3.0 PierreSelim,"12th Century CE, Romanesque","France, Christianity",Architecture
000035,Basilica of San Vitale at Ravenna,"An octagonal building is seen from the side, showing two stories of arched windows, buttressed supports, and a cupola.",CC BY-SA 3.0 Madaki,Bishop Ecclesius and Bishop Maximian,An octagonal building with buttresses and a cupola,"Southern European, Italian, Byzantine, Late Antiquity, Christendom",CE 526-547,"Ravenna, Italy","Ravenna, Italy",CC BY-SA 3.0 Madaki,"6th Century CE, Late Antiquity, Byzantine","Byzantine, Christianity",Architecture
000036,"Basilica of Santa Sabina, Interior","A central nave is flanked by rows of corinthian columns and arches, above which are rows of stained glass clerestory windows.  At the far end is the apse showing a triumphal arch.",CC BY-SA 3.0 Dnalor 01,Peter of Illyria,A central nave is flanked by columns and windows.  An apse is at the far end.,"Southern European, Italian, Byzantine, Late Antiquity, Christendom",CE 422-432,"Rome, Italy","Rome, Italy",CC BY-SA 3.0 Dnalor 01,"5th Century CE, Late Antiquity, Early Christian","Byzantine, Early Christianity",Architecture
000037,Bath of Fasiledes,"A three-story stone building stands in a giant stone-walled rectangular pool with no water in it. Two arched doorways are at the ground level on each of two visible sides of the building. Above, two arched doorways permit access to a balcony that spans the width of the building. A square tower rises to a third level on the right corner of the building, with round-topped battlements on the tower's roofline.",CC BY-SA 3.0 © UNESCO Francesco Bandarin    ,Unknown,A castle with arches on the ground floor,"East African, Ethiopian, Gondarian",CE 1600-1700,"Gondar, Ethiopia                ","Gondar, Ethiopia                ",CC BY-SA 3.0 © UNESCO Francesco Bandarin    ,"17th Century CE, Gondar Period","Fasiledes, Gondar",Architecture
000038,Battle of Issus (Alexander Mosaic) ,"This mosaic shows a dramatic moment in a battle: a clash of horses, soldiers, shields and spears. Alexander can be seen on the viewer’s left, representing Greece. On the right, Darius and the Persian army charge toward the center. In the middle, horses wheel and prop under the charioteers’ whip, who are responding to Darius’s order to reverse their charge and flee. On the ground are wounded soldiers.",CC BY-SA 3.0 Berthold Werner,Unknown,The mosaic shows a battle scene where two armies of mounted soldiers with shields and spears.,"Ancient Greek, Hellenistic",BCE 315,"Museo Archeologico Nazionale, Naples","House of Faun, Pompeii",CC BY-SA 3.0 Berthold Werner,"4th Century BCE, Hellenistic","Alexander the Great, Darius III",Mosaic
000039,Battle of Karbala,"In the center of this oil-on-canvas scene is a bearded, helmeted warrior on a white horse stabbing a bareheaded mustached man on a dark horse in the chest. Surrounding the central scene are dozens of miniature scenes depicting  religious and courtly rituals on the viewer's left, and, on the viewer's right, visual references of heaven and hell.",Public Domain,Abbas Al-Musavi,"A bearded, helmeted warrior on a horse stabs a bareheaded mustached man on a dark horse.","Middle Eastern, Iranian, Qajar, Muslim",CE 1875-1925,"Brooklyn Museum, New York, USA","Isfahan, Iran",Public Domain,"19th-20th Century CE, Qajar","Qajar, Imam Husayn",Painting
000040,Bayeux Tapestry Death of Harold,"The embroidery on cloth uses tan, green, red, and two shades of blue thread. The image has an upper register that contains several panels of decorative beasts and beards. The main, central register shows (left to right) a man whose shield has several arrows buried in it, a man who has been struck in the eye by an arrow, and a swordsman on horseback striking down a man with an axe. Above them are stitched the words ""Harold Rex Infectus est."" The bottom register shows smaller depictions of men in battle, including a man stripping the armor from a dead opponent.",CC 1.0 Universal Public Domain Myrabella ,Unknown ,Embroidery on cloth showing the death of King Harold of England from being struck in the eye by an arrow.,"Northern and Western European, French, Christendom, Medieval",CE 1070-1080,"Musée de la Tapisserie de Bayeux, Bayeux, France","England, UK",CC 1.0 Universal Public Domain Myrabella ,"11th Century CE, Medieval","Harold Godwinson, Harold II",Textile
000041,Bayeux Tapestry Halley's Comet,"This embroidery on cloth uses tan, green, red, and two shades of blue thread. The image has an upper register that shows a comet at the center and the Latin caption ""Isti mirant stella"" on the left. In the left lower register we see a group of six men in a castle pointing to the sky; on the right, a man with a sword speaking urgently to an enthroned king in a castle, above whom the name ""Harold"" is stitched. A narrow band at the bottom of the cloth shows a bird and a group of unmanned longboats.",CC 1.0 Universal Public Domain Myrabella ,Unknown ,"Embroidery on cloth showing a comet at the center and the Latin caption ""Isti mirant stella"" on the left.","Northern and Western European, French, Christendom, Medieval",CE 1070-1080,"Musée de la Tapisserie de Bayeux, Bayeux, France","England, UK",CC 1.0 Universal Public Domain Myrabella ,"11th Century CE, Medieval","Harold Godwinson, Harold II, comet Halley",Textile
000042,Bearden: The Block,"This mixed media collage included printed, colored, and metallic papers, graphite, marker, gouache, watercolor, and ink among other mediums. ""The Block"" was a tribute to New York City's Harlem neighborhood. The original installation included a tape recording of street sounds to enhance the viewer's experience of the work.",Artstor: Romare Bearden Foundation,Romare Bearden,"Collage of a block of a city neighborhood with cars, people, buildings, and storefronts.","American, African American, Modernism, Social Realism",CE 1971,"The Metropolitan Museum of Art, New York, NY, USA","New York, United States",Artstor: Romare Bearden Foundation,"20th Century CE, Modernism, Social Realism","African American, Harlem",Mixed Media
000043,Bearden: Three Folk Musicians,"Collage of three men holding instruments, two a guitar and one a banjo","ArtStor: © Estate of Romare Bearden / Licensed by VAGA, New York, NY",Romare Bearden,Three men holding musical instruments,"American, African American, Modernism, Social Realism",CE 1967,"J.L. Hudson Gallery, Detroit, MI, USA","Harlem, New York","ArtStor: © Estate of Romare Bearden / Licensed by VAGA, New York, NY","20th Century CE, Modernism, Social Realism","African American, musicians",Painting
000044,"Beardsley: Cover of ""The Yellow Book: an Illustrated Quarterly""","This is the cover of a periodical that depicts a woman on the right side of the image against a light background; her bountiful dark hair contrasts with her light face, and this contrast is picked up in the light and dark layering of her dress with its dark bow and wide collar. To the left of the image, set against a dark background, is a low bookshelf on which is a bowl of flowers; the repeating floral image behind that suggests wallpaper. The name of the journal and publication information frame the image on the top and bottom.",Public Domain,Aubrey Vincent Beardsley,"The cover of a magazine shows a woman's portrait, lamps, and some books.","Northern and Western European, British, Art Nouveau",CE 1894,"Yale Center for British Art, New Haven, CT, USA","London, England",Public Domain,"19th Century CE, Art Nouveau",periodical cover,Prints
000045,Becher: Water Towers,Photographs of six water towers in black and white form a grid.,ArtStor: The Solomon R. Guggenheim Foundation,Bernd and Hilla Becher,Six photographs of water towers and placed in a grid.,"Northern and Western European, Minimalism",CE 1980,"Solomon R. Guggenheim Museum, NY, NY, USA",Europe and North America,ArtStor: The Solomon R. Guggenheim Foundation,"20th Century CE, Minimalism",water tower,Photography
000046,Bechtle: Alameda Gran Torino,"A station wagon with wood paneling and a California license plate sits in a driveway in front of a closed garage door.  A front door to the Ranch style house is behind the car.  While the image appears to be a photograph, it is actually a painting.",ArtStor: San Francisco Museum of Modern Art (SFMOMA),Robert Bechtle,A station wagon sits in a driveway in front of a garage.,"American, Photorealism",CE 1974,San Francisco Museum of Modern Art (SFMOMA ),"San Francisco Bay Area, California, USA",ArtStor: San Francisco Museum of Modern Art (SFMOMA),"20th Century CE, Photorealism",station wagon,Painting
000047,Behistun Inscription,"The Behistun Inscription is a rock face cliff engraving near Mount Behistun (now Kermanshah Province, Iran), which was on the Silk Road. In three languages (Old Persian, Elamite, Babylonian) it describes conquests of Darius the Great. It includes a relief carving of Darius, flanked by his soldiers, facing prisoners, with Faravahar, the symbol of Persia’s state religion, Zoroastrianism, blessing the scene.",Public Domain,Unknown,"A rock face cliff shows engravings in in three languages, Old Persian, Elamite, and Babylonian.","Middle Eastern, Iranian, Mesopotamian, Persian, Babylonian, Elamite",BCE 515 ,Behistun mountain,"Mount Behistun, in the foothills of the Zagros mountains, facing the Kermanshah plain (now Province in northwestern Iran). ",Public Domain,"6th Century BCE, Persian, Babylonian, Elamite","cuneiform script, Darius I of Persia",Sculpture
000048,Bellini: Portrait of Mehmet II,This is a portrait of the Ottoman Sultan Mehmet II (1432-81).,Public Domain,Gentile Bellini,Portrait of the Ottoman Sultan Mehmet II,"Central and Eastern European, Turkish, Italian, Italian Renaissance",CE 1480,"National Gallery, London, UK","Istanbul, Turkey",Public Domain,"15th Century CE, Italian Renaissance",Mehmet II,Painting
000049,Bellini: Saint Francis in the Desert,"In muted tones of yellow, blue, and grey, this oil-on-board scene shows a barfoot bearded figure in a robe standing on a rocky mountain, facing the sun.  Behind him is a roughly built shelter with a vine trellis in front of its entrance.  Under the trellis is a desk with a book and a skull on it. A donkey stands in a grassy plain behind the shelter. In the mountainscape beyond is a gated city with a fortress on its peak. ",Artstor Department of Art History Digital Collections,Giovanni Bellini,A man in a robe stands on a cliff. In the distance there is a donkey and a building.,"Southern European, Italian, Italian Renaissance",CE 1476-1478,"The Frick Collection, New York, United States","Venice, Italy",Artstor Department of Art History Digital Collections,"15th Century CE, Italian Renaissance",Saint Francis,Painting
000050,Bellows: Both Members of this Club,"Two bloodied boxers face off in a prize-fighting ring, surrounded by a mass of spectators",Public Domain,George Bellows,Two boxers fighting in a ring,"American, Social Realism, Realism",CE 1909,"National Gallery, Washington DC, USA","New York, NY, United States",Public Domain,"20th Century CE, Social Realism, Realism",boxing match,Painting
